no_penyakit,nama_penyakit,deskripsi_penyakit,tingkat_keparahan,alasan
AP01,Busuk daun jamur,Daun bercak basah titik kecil berwarna gelap. Daun terinfeksi menguning dan mengalami pembusukan. Penguningan meluas. pertumbuhan jamur atau bintik putih pada permukaan daun. mengalami penurunan kesehatan dan produktivitas. Mempengaruhi hasil panen dan kualitas tanaman,Tingkat Sedang,"Mungkin menyebabkan kerusakan pada beberapa daun tanaman, tetapi tidak seluruh tanaman terpengaruh."
AP02,Karat,muncul bercak karat. titik kecil berwarna oranye atau coklat. bercak berkembang menjadi lesi besar terlihat seperti serbuk karat. Menyebar ke tanaman lain melalui angin atau percikan air. mengalami penurunan kesehatan dan produktivitas. menghambat pertumbuhan tanaman. mengurangi kualitas hasil dan nilai ekonomi tanaman.,Tingkat Parah,Rust sering menyebar dengan cepat dan dapat menyebabkan kerusakan serius pada daun dan batang tanaman.
SP01,Busuk daun ,tulang daun terjadi bercak bersudut. berwarna hijau muda pucat sampai kuning. permukaan bawah daun berbentuk kapang atau jamur putih. daun terinfeksi saling berhubungan dan menjadi bercak coklat besar. Ujung cabang melebar sperti cakram mirip piring keluar. Penyebaran terbawa oleh angin dan membentuk waktu malam. Infeksi terjadi melalui mulut kulit. Berkembang pada kelembaban udara tinggi seperti kabut dan embun.,Tingkat Sedang,"Mungkin menyebabkan kerusakan pada beberapa daun, tetapi tidak seluruh tanaman terpengaruh."
SP02,Busuk Rhizoctonia,"Tanaman mendekati masak, daun tua di atas tanah terinfeksi, tangkai dan tulang daun induk terjadi bercak coklat yang mengendap. Helaian daun membusuk menjadi coklat berlendir. seluruh tanaman menjadi seperti lendir. jika cuaca kerung tanaman busuk mengering menjadi hitam. jamur tanah seperti rumah laba-laba yang banyak tetes embun bergantungan.",Tingkat Parah,"Busuk Rhizoctonia dapat menyebabkan busuk pada akar dan batang tanaman, mempengaruhi pertumbuhan dan kesehatan tanaman."
SP03,Bercak daun,gejala tampak sebagai bercak kecil kebasahan pada tepi daun. bercak menyebar ke dalam dan jaringan menjadi kecoklatan. bercak terdapat banyak titik hitam terdiri jamur penyebab penyakit. Terdapat jamur seperti jarum dan membengkok. Terdapat jamur berwarna berbentuk terbalik dan silindris. ,Tingkat Ringan,"Tingkat keparahan bercak daun tergantung pada jenisnya. Pada tingkat parah, dapat menyebabkan gugur daun yang signifikan."
SP04,Busuk daun abu,Busuk daun disebabkan oleh jamur atau bakteri. Daun menguning. Muncul lendir. Daun membusuk. Bercak basah. Memiliki are lembab dan berair. Pembusukan. Pertumbuhan jamur berwarna gelap. Jamur patogen tumbuh baik di tempat lembab. Kelembaban tinggi. Penyakit busuk. Serangga pembawa patogen. Kerusakan struktur daun. Mengurangi keindahan atau estetika. Penurunan hasil panen. Rentan terhadap serangan penyakit lain.,Tingkat Sedang,Busuk daun abu dapat menyebabkan kerusakan pada daun dan mempengaruhi pertumbuhan tanaman.
SP05,Busuk daun Choanephora,"Pertumbuhan jamur Choanephora cucurbitarium. Jamur berkembang cepat pada daun lembab, setelah periode hujan atau kelmbaban tinggi. membentuk spora tampak seperti benang dan berwarna hitam atau gelap. muncul pada bagian terinfeksi. mengalami bercak basah yang awalnya muncul titik kecil berwarna gelap. seriring waktu bercak berkembang menjadi lesi besar. daun terinfeksi menjadi busuk, lunak dan lembek. menyebabkan penurunan kesehatan, fotosintesis terganggu dan tanaman mengalami stres akibat infeksi. ",Tingkat Parah,"Busuk daun choanephora dapat menyebabkan busuk pada bunga dan buah, mengakibatkan kerugian hasil panen."
SP06,Bercak daun stemphylium,gejala awal sebagai bercak coklat atau abu-abu. bercak memiliki tepi yang tidak teratur. seiring waktu bercak melebar dan menyebabkan pengguguran daun. daun terinfeksi kering dan mati. kondisi lingkungan yang memiliki kelembaban tinggi dan suhu hangat memungkinkan jamur Stemphylium berkembang biak baik dan menyebabkan infeksi.,Tingkat Parah,Bercak daun stemphylium dapat menyebabkan bercak pada daun dan mengurangi luas daun yang sehat.
SP07,Busuk bakteri,gejala awal busuk dan pelunakan pada jaringan tanaman terutama yang tua. jaringan terinfeksi berwarna gelap atau hitam yang melibatkan pangkal batang atau daun. terinfeksi oleh bakteri penyebab busuk bakteri yang menghasilkan bau busuk yang khas. aktivitas bakteri dan proses penguraian jaringan tanaman. lesi basah dan berair dapat muncul pada daun. lesi atau kusam berkembang dengan cepat dan menjadi busuk. mengalami penurunan kesegaran dan kesehatan. memengaruhi pertumbuhan tanaman dan kualitas hasil.,Tingkat Sedang,Busuk bakteri dapat menyebar dengan cepat dan menyebabkan kerusakan yang signifikan pada berbagai bagian tanaman.
SP08,Mosaik,"munculnya pola mosaik. pola seperti berck berwarna terang dan gelap membentuk pola tidak teratur. tanaman terinfeksi turnip mosaic virus mengalami kerdil atau pengecilan dan deformasi. pertumbuhan tanaman terhambat, daun yang tumbuh dapat menunjukkan gejala mosaik. daun terinfeksi mengalami curling atau penjuluran pada tepiannya. beberapa kasus infeksi virus menyebabkan nekrosis (kematian jaringan) yang memperburuk kondisi tanaman. virus ditularkan melalui vektor seperti kutu atau benih yang terinfeksi. kutu menghisap getah tanaman yang terinfeksi dan mengalirkan virus ke tanaman yang sehat",Tingkat Ringan,"Tingkat keparahan mosaik dapat bervariasi. Pada tingkat parah, dapat menyebabkan deformasi daun dan menghambat pertumbuhan tanaman."
WP01,Busuk hati/jantung sawi,"muncul sebagai bercak kecil dan basah. bercak kecil berkembang cepat dan menyatu membentuk lesi besar menutupi daun dan bagian tanaman lainnya. lesi pada daun menjadi busuk dan basah. bercak berwarna coklat keabu-abuan. bekas sisa pertumbuhan jamur berwarna hitam dan keras. jamur Sclerotina dapat menyebabkan busuk pada batang dan akar. lesi pada batang dan akar tempak lembek dan basah. Sklerotium, struktur tidur jamur yang keras dan berwarna gelap, dapat terbentuk pada daun yang terinfeksi. Sklerotium ini dapat tetap hidup di tanah dan menjadi sumber infeksi pada musim tanam berikutnya.",Tingkat Parah,Busuk hati/jantung sawi dapat menyebabkan kerusakan pada bagian dalam tanaman sawi. Kondisi ini dapat merugikan pertumbuhan tanaman secara keseluruhan.
WP02,Busuk basah,"menunjukkan gejala layu pada bagian atas tanaman. akar tanaman mengalami pembusukan dan berearna gelap. infeksi dimulai dari akar dan merambat ke batang dan daun. menunjukkan bercak basah atau lembab berkembang menjadi berca besar berwarna gelap. kondisi lembab, terlihat pertumbuhan jamur atau oomycete yang tampak seperti serbuk halus pada permukaan daun, akar, atau batang. daun dapat mengalami kerontokan, dan tanaman akhirnya dapat mati. Pythium spp. adalah genus jamur yang dapat menyebabkan busuk basah dengan kondisi lembab yang tinggi. tanah yang tergenang air memfasilitasi infeksi Phytophthora spp. Rhizoctonia solani adalah jamur yang dapat menyebabkan busuk basah dan pembusukan pada bagian akar dan batang tanaman sawi. Kelembaban tanah yang tinggi mendukung perkembangan Rhizoctonia solani.",Tingkat Sedang,"Busuk basah dapat menyebabkan busuk pada berbagai bagian tanaman, terutama pada kondisi lembab. Dapat menyebabkan kerugian hasil panen yang signifikan."
WP03,Busuk hitam,"muncul bercak kecil berwarna kuning menjadi lesi berbentuk cincin atau bercak hitam. lesi hitam menjadi besar dan menyatu. daun terinfeksi mengalami perubahan warna dari kuning menjadi coklat dan akhirnya mengering. mengakibatkan penurunan kesehatan dan kualitas hasil. kondisi lingkungan lembab terutama tumbuh pada malam hari. selain daun, batang, buah tanaman sawi dapat terinfeksi oleh jamur ini. Alternaria brassicicola menyebabkan lesi pada daun, batang, dan bagian tanaman lainnya.",Tingkat Ringan,Busuk hitam dapat menyebabkan kerusakan serius pada buah dan daun. Tingkat keparahan dapat bervariasi tergantung pada tingkat penyebaran dan dampak pada hasil panen.
WP04,Hawar Daun,muncul bercak kuning kecoklatan. bercak berkembang menjadi lesi yang lebih besar dan memiliki tepi tidak beraturan. lesi berwarna coklat hingga merah tua. lesi dapat tumbuh dan menyatu satu sama lain menjadi area lebih besar. menyebabkan kelipatan daun dan akhirnya pengeringan daun. bakteri menyebar ke daun sehat melalui percikan air hujan atau irigasi. ,Tingkat Ringan,Hawar daun dapat menyebabkan nekrosis daun dan mempengaruhi fotosintesis tanaman.
WP05,Krop Kusam,Jamur Albugo candida menyerang tanaman sawi dan tanaman Brassicaceae lainnya. muncul bercak putih atau kusam. lesi memiliki batas yang tidak teratir. pasa disi bawah daun terdapat pembentukan struktur seperti bubuk putih yang berisi sporangia jamur. daun terinfeksi mengalami deformasi seperti keriting dan mengeriput. tanaman mengalami kelumpuhan pertumbuhan dan kerusakan jaringan daun.,Tingkat Sedang,"Krop kusam dapat menyebabkan penyusutan kepala tanaman, mengurangi kualitas dan hasil."
WP06,Ulat perusak daun,Ulat perusak daun. Lubang tepi daun. Kotoran ulat gelap hitam. Tumbuh lambat. Pertumbuhan tidak normal. Kerusakan daun. Cuaca hangat dan lembab. Memakan jaringan daun. Daun digerus. Tanaman lemah. Telur ulat bawah daun. Kupu-kupu meningkat. Tindakan cepat diperlukan mengendalikan populasi ulat.,Tingkat Ringan,"Ulat perusak daun dapat mengunyah daun dan merusak struktur tanaman, menyebabkan kerugian hasil dan pertumbuhan yang terhambat."
WP07,Ulat tanah,Ulat tanah atau cacing tanah merusak akar. Pola makan berbentuk munching. Daun digerus. Gejala stres. Daun menguning atau layu. Kupu-kupu atau ngengat menaruh telur di tanah sekitar sawi. Kondisi tanah lembab dan hangat. Defoliasi. Hilang daun. Kerusakan signifikan pada akar. Penyerapan nutrisi dan air buruk.,Tingkat Ringan,"Ulat tanah dapat merusak akar dan bagian bawah tanaman, menyebabkan kehilangan nutrisi dan pertumbuhan yang buruk."
WP08,Ulat grayak,Ular grayak membuat lubang sawi. Terlihat tergores. Memakan jaringan daun. Kerusakan tanaman. Kerusakan boros. Telur di permukaan daun. Penurunan kualitas daun. Pertumbuhan terganggu. Pengeringan daun.,Tingkat Ringan,Ulat grayak dapat merusak tanaman dengan mengunyah daun dan membuat jaringan tanaman menjadi berlubang.
WP09,Leaf miner,Leaf miner lorong pada daun. Jejak makanan ulat. Daun mengering. Daun warna kuning kecoklatan. Terdapat larva merayap di dalamnya. Penurunan kualitas daun. Telur diletakkan dalam daun. Kelembaban dan suhu tertentu. Kerusakan estetika sawi. Penurunan hasil panen drastis. Rentan terhadap penyakit.,Tingkat Ringan,"Leaf miner dapat menyebabkan kerusakan kosmetik pada tanaman, tetapi jarang menyebabkan kerugian hasil yang signifikan."
BP01,Bercak ungu,"Terjadinya bercak kecil, melekuk, berwarna putih sampai kelabu Jika membesar, bercak tampak bercincin-cincin, dan warnanya agak keunguan. Tepinya agak kemerahan atau keungunan dan dikelilingi oleh zona berwarna kuning, yang dapat meluas agak jauh di atas atau di bawah bercak. Pada cuaca lembab permukaan bercak tertutup oleh konidiofor dan konidium jamur yang berwarna coklat sampai hitam. Ujung daun yang sakit mengering. Bercak lebih banyak terdapat pada daun tua. Infeksi pada umbi lapis terjadi pada saat panen atau sesudahnya. Umbi yang membusuk tampak agak berair. Pembusukan mulai dari leher, dari warnanya yang kuning sampai merah kecoklatan. benang jamur berwarna gelap berkembang, jaringan sakit akan mengering, berwarna gelap dan bertekstur seperti kertas. bercak ungu atau kecoklatan pada daun lebih tua. bercak berkembang menyebabkan daun menguning. bercak ungu pada daun terutama pada bagian tepi daun atau ujung daun. Jamur seperti Peronospora destructor dapat menyebabkan bercak-bercak pada tanaman bawang. Kondisi tanah yang tidak memadai atau pH tanah yang tidak seimbang dapat memengaruhi penyerapan nutrisi oleh tanaman. Faktor lingkungan yang lembap dan kondisi yang mendukung pertumbuhan jamur dapat menyebabkan serangan ini.",Tingkat Sedang,"Bercak ungu biasanya tidak menyebabkan kerusakan yang signifikan pada tanaman, tetapi dapat mempengaruhi penampilan tanaman jika tingkat infeksi cukup tinggi."
BP02,Bercak daun cercospora,"Jamur patogen utama penyebab penyakit ini adalah Cercospora allii. Gejala awal munculnya bercak-bercak berwarna putih keabu-abuan pada daun tanaman bawang. Bercak-bercak berkembang menjadi lesi yang lebih besar, berwarna coklat hingga merah kecoklatan, dengan tepi yang jelas. Daun yang terinfeksi akan mengalami pengeringan dan pembusukan pada bagian yang terkena, yang merugikan pertumbuhan tanaman. Infeksi berat dapat menyebabkan penurunan kualitas dan jumlah produksi bawang. Mula-mula terjadi bercak klorotis, bulat, berwarna kuning, dengan garis tengah 3-5 mm. bercak paling banyak terdapat pada ujung sebelah luar daun. bercak-bercak sering bersatu pada ujung daun, yang pada sebelah pangkalnya terdapat banyak bercak yang terpisah, sehingga daun tampak belang. Ujung mengering dan menjadi coklat kelabu. bercak-bercak yang terpisah mempunyai pusat berwarna coklat yang terdiri dari jaringan mati. Pada waktu lembab di bagian daun yang mati terdapat bintik-bintik yang terdiri dari berkas konidiofor dengan konidium jamur. Kadang-kadang bintik-bintik ini juga terjadi pada jaringan yang klorotis.",Tingkat Parah,Cercospora dapat menyebabkan kerugian daun dan merusak jaringan fotosintesis. Tingkat keparahan tergantung pada seberapa luas dan parah infeksinya.
BP03,Busuk daun,"Kurang lebih pada saat tanaman mulai membentuk umbi lapis, di dekat ujung daun timbul bercak hijau pucat. Pada waktu cuaca lembab pada permukaan daun berkembang kapang (mould, jamur) yang berwarna putih lembayung atau ungu. Daun segera menguning, layu, dan mengering. Daun mati yang berwarna putih diliputi oleh kapang hitam. Jamur Fusarium oxysporum dapat menyebabkan penyakit busuk daun pada bawang. Patogen ini biasanya menyerang pangkal batang dan menyebabkan pembusukan pada daun. Gejala awal terlihat sebagai pembusukan pada pangkal batang bawang. Daun yang terinfeksi dapat tampak kuning dan akhirnya menjadi busuk. Tanaman bawang yang terinfeksi dapat mengalami penurunan kesehatan secara keseluruhan, terutama pada fase pertumbuhan awal. Pada beberapa kasus, jamur Fusarium dapat membentuk struktur tahan hidup yang disebut sklerotium di dalam jaringan tanaman.",Tingkat Sedang,"Busuk daun biasanya dapat diatasi dengan tindakan pengelolaan penyakit yang tepat, seperti pemangkasan dan pengelolaan kelembaban."
BP04,Busuk bibit,"Penyakit disebabkan oleh Pythium debaryanum Hesse. Jamur membusukkan umbi bibit yang baru tumbuh, atau menyerang tanaman yang kecil pada atau dekat permukaan tanah. Bibit bawang yang terinfeksi seringkali menunjukkan perubahan warna menjadi gelap pada bagian batang dan akar. pembusukan jaringan tanaman. Bibit bawang yang terinfeksi dapat mengalami busuk dan pelunakan pada bagian batang atau akar. Bibit yang sehat seharusnya keras dan turgor, tetapi bibit yang terinfeksi dapat terasa lembek. Kelembapan tinggi atau tanah yang terlalu lembab mendukung perkembangan penyakit busuk pada bibit bawang. Bibit yang terinfeksi busuk seringkali memiliki aroma busuk atau berbau busuk yang khas. Jamur Fusarium dapat menyebabkan busuk pada bibit bawang. Fusarium menciptakan warna coklat atau merah pada batang dan akar bibit. jamur ini dapat menyebabkan penyakit busuk pada bibit bawang. Gejala termasuk lesi coklat pada batang dan akar, yang menjadi busuk. Tanah yang terlalu basah atau kondisi kelembapan tinggi dapat meningkatkan risiko infeksi jamur dan bakteri yang menyebabkan busuk bibit. ",Tingkat Ringan,"Dapat mempengaruhi beberapa bibit, tetapi tindakan pencegahan dan kontrol dapat diambil."
BP05,Busuk Umbi Fusarium,"daunnya mati dari ujung dengan cepat. Jika pangkal tanaman diperiksa, terlihat bahwa akar-akar membusuk, dan pada dasar umbi lapis terdapat jamur keputih-putihan pada permukaan bagian lapisan yang membusuk. Jika umbi lapis dipotong membujur tampak bahwa ada pembusukan yang agak berair yang meluas ke atas dari pangkal lapisan-lapisan umbi Jamur Fusarium oxysporum dan Fusarium proliferatum adalah beberapa spesies Fusarium yang dapat menyebabkan Umbi Fusarium pada tanaman bawang. Gejala pertama penyakit ini adalah pembusukan pada bagian basal tanaman, terutama pada daun-daun yang dekat dengan permukaan tanah. Umbi bawang yang terinfeksi Fusarium dapat menunjukkan perubahan warna menjadi merah atau merah coklat. Umbi yang terinfeksi kehilangan kesegaran dan kekencangannya, dan terasa lunak atau busuk. melihat pertumbuhan jamur atau miselium Fusarium pada permukaan umbi.",Tingkat Parah,Fusarium pada umbi dapat menghancurkan hasil panen.
BP06,Busuk Putih,"terdapat penyakit busuk putih yang disebabkan oleh jamur Sclerotium cepivorum Berk. Daun menguning dan tanaman mati. Pada permukaan umbi dan pangkal daun-daun terdapat miselium putih seperti bulu, yang akhirnya membentuk sklerotium bulat, mula- mula berwarna putih, akhirnya berwarna coklat tua sampai hitam. struktur tahan lama yang berwarna putih hingga coklat tua, dapat ditemukan di sekitar pangkal batang dan umbi tanaman. Sklerotium ini merupakan tempat tumbuh dan berkembangnya jamur. Tanaman bawang yang terinfeksi akan menunjukkan pembusukan dan luka pada pangkal batang, terutama di dekat tanah. Saat tanaman bawang terinfeksi, mungkin muncul jamur berwarna putih yang menyerupai kapas di sekitar daerah yang terinfeksi. ",Tingkat Sedang,"Meskipun dapat menyebabkan kerusakan pada daun, tidak selalu fatal dan bisa dikelola."
BP07,Antraknosa,"disebabkan oleh jamur Colletotrichum gloeosporioides. Mungkin jamur ini sebe- narnya adalah Colletotrichum circinans. terutama di tempat-tempat yang rotasinya tidak dilaksanakan dengan baik tanaman mati dengan agak mendadak. Daun bawah rebah karena pangkal daun mengecil akibat serangan jamur. Munculnya bercak kecil berwarna coklat pada daun, batang, atau umbi bawang. Lesi ini berbentuk melingkar dengan tepi yang berwarna lebih gelap. Lesi tersebut berkembang menjadi bercak-bintik yang lebih besar dengan tepi yang berwarna lebih gelap dan tengah yang dapat mengering. Daun yang terinfeksi dapat mengalami kerontokan, menyebabkan daun-daun pada tanaman tampak berlubang atau rontok. jamur dapat menyebar ke umbi bawang dan menyebabkan lesi berwarna coklat atau hitam. Lesi ini menyusutkan dan merusak umbi, mengurangi kualitas dan hasil panen. Pada kondisi lingkungan yang lembap, jamur dapat membentuk struktur khusus, seperti acervuli atau konidia, yang membantu dalam penyebaran spora penyakit.",Tingkat Sedang,"Antraknosa dapat menyebabkan kerusakan pada daun dan struktur tanaman, tetapi mungkin tidak menyebabkan kematian total."
BP08,Mati ujung,"terdapat mati ujung yang disebabkan oleh Phytophthora porri Foister. Ujung daun-daun busuk kebasah- basahan yang berkembang ke bawah. Jika cuaca lembab jamur membentuk massa jamur seperti beledu pada bercak. Bagian yang sakit mati, menjadi berwarna coklat, kemudian putih. Pada tanaman bawang yang mengalami mati ujung, pucuk tanaman dapat menjadi kering dan mati. Daun di ujung tanaman mungkin tampak kusam dan kemudian mengering. Tanaman bawang yang mengalami masalah mati ujung biasanya akan mengalami penyusutan pertumbuhan. Ini dapat mempengaruhi kualitas dan hasil panen tanaman. Daun-daun yang baru muncul mungkin terhambat dalam pertumbuhan, terlihat kecil, atau mungkin memiliki warna yang tidak normal.  Kekurangan nutrisi, khususnya kekurangan unsur hara seperti boron atau kalsium, dapat menyebabkan mati ujung pada tanaman bawang. Kondisi tanah yang tidak memadai juga dapat mempengaruhi ketersediaan nutrisi. Kondisi lingkungan yang ekstrim, seperti kelembapan udara yang rendah atau tingginya suhu, dapat menyebabkan mati ujung pada tanaman bawang. Penyakit seperti busuk ujung atau penyakit daun bakteri menyebabkan mati ujung pada tanaman bawang. Penyakit ini dapat menyebar melalui air atau kontak langsung antara tanaman.",Tingkat Ringan,"Meskipun dapat menyebabkan kematian ujung tanaman, mungkin tidak mempengaruhi pertumbuhan secara keseluruhan."
BP09,Busuk Leher Batang,"terdapat busuk leher batang yang disebabkan oleh Botrytis allii Munn. gejala mula-mula terlihat pada umbi lapis setelah panen. Bagian yang terinfeksi menjadi lunak, berwarna kelabu (tampak seperti habis dimasak), berbatas tegas, dan bagian yang sakit dapat tampak melekuk. jamur Fusarium atau Pythium dapat menyebabkan busuk leher batang. Infeksi biasanya dimulai dari pangkal batang dan dapat menyebar ke bagian atas tanaman. Penyakit ini dapat menyebabkan layu dan kematian pada tanaman. Batang bagian bawah tampak lembek, berlendir, berubah warna menjadi coklat atau hitam, dan kadang-kadang terdapat bercak putih atau pink di pangkal batang. Bakteri ini dapat menyebabkan busuk leher batang pada tanaman bawang. Tanaman bisa mengalami penurunan pertumbuhan dan kematian. Kondisi lingkungan yang terlalu lembap atau tanah terlalu basah. Tanaman dapat menunjukkan gejala layu, busuk pada pangkal batang, dan munculnya bercak-bercak berwarna gelap.",Tingkat Parah,"Busuk leher batang dapat menghancurkan struktur tanaman yang penting, seperti batang dan leher tanaman."
BP10,Penyakit Akar Merah Jambu,"terdapat penyakit akar merah jambu (pink root) yang disebabkan oleh jamur Pyrenochaeta terrestris (Hans.) yang dulu disebut sebagai Phoma terrestris Hans. Secara khas akar yang sakit berwarna merah jambu pucat, kemerah-merahan, kadang-kadang menjadi merah atau ungu. Sedikit atau banyak akar menjadi busuk, sehingga tanaman mudah dicabut. Jamur Phytophthora spp., seperti Phytophthora cryptogea, menjadi penyebab utama penyakit akar merah. Akar tanaman terinfeksi berubah menjadi warna merah atau merah coklat. Ini disebabkan oleh akumulasi pigmen yang dihasilkan oleh jamur Phytophthora. Akar yang terinfeksi akan menghitam, mengalami pembusukan, dan kehilangan kemampuan untuk menyerap air dan nutrien dengan baik. Tanaman mungkin menunjukkan gejala kekurangan air dan nutrisi karena akar yang terinfeksi tidak mampu menyediakan pasokan yang cukup. Tanaman yang terinfeksi dapat mengalami kelumpuhan pertumbuhan karena gangguan sistem perakaran yang signifikan. ",Tingkat Parah,Penyakit pada akar dapat memiliki dampak yang signifikan pada pertumbuhan dan kesehatan tanaman.
LP01,Bercak daun septoria,"mula-mula pada daun terjadi bercak klorotis kecil, yang lalu menjadi nekrotis, dengan garis tengah beberapa mm. Daerah klorotis di sekitar bagian yang nekrotis meluas. Pada bagian yang nekrotis dan pada bagian di luarnya terdapat titik-titik halus berwarna hitam badan buah (piknidium) jamur penyebab penyakit. Pada tangkai daun penyakit menyebabkan timbulnya becak-becak memanjang, berwarna coklat. adanya bercak lebar, yang dapat mempunyai garis tengah sampai 10 mm. Bercak ini mempunyai batas yang jelas dengan lingkaran berwarna terang. bentuk becak besar titik-titik hitam lebih sedikit dan umumnya terbatas di dekat pusat becak. munculnya bercak-bercak berwarna coklat atau hitam pada daun seledri. Daun di sekitar bercak-bercak tersebut cenderung menguning, mengering dan jatuh. Penyakit bercak septoria menyerang daun muda dan tua tanaman seledri, menyebabkan penurunan kualitas dan jumlah daun yang dapat dipanen. Penyakit ini disebabkan oleh jamur patogen dari genus Septoria, seperti Septoria apiicola dan Septoria petroselini. Jamur menghasilkan spora yang menyebar melalui percikan air atau kontak langsung. Kelembaban tinggi dan kondisi lingkungan yang lembap. Hujan, embun, atau penyiraman yang berlebihan menciptakan lingkungan yang ideal bagi spora jamur untuk berkembang.",Tingkat Parah,Bercak daun septoria dapat menyebabkan bercak pada daun dan mengurangi luas daun yang sehat.
